timestamp,location,probability,secondary_locations
2024-11-22 10:29:10,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:09,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:08,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:07,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:06,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:05,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:04,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:03,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:02,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:01,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:29:00,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:59,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:58,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:57,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:56,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:55,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:54,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:53,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:52,G17,0.99,"G15 (0.01%), I19 (0.00%)"
2024-11-22 10:28:51,G17,0.99,"G15 (0.01%), I19 (0.00%)"
